"site_no","level_long_term_mean","level_long_term_mean_smooth","level_long_term_median","level_long_term_sd","level_2024_mean","level_2024_mean_smooth","level_2024_median","level_2024_sd","level_anomaly_volume","level_anomaly_volume_smooth","level_anomaly_percent","level_anomaly_percent_smooth","latitude","longitude","Hylak_id","Lake_name","Country","Continent","Poly_src","Lake_type","Grand_id","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Elevation","Slope_100","Wshd_area","Pour_long","Pour_lat","ID","HYBAS_ID"
"000003",257.63774153074,257.640690087829,257.64,0.470887292945406,258.014705882353,258.005294117647,258.005,0.11791715875133,0.376964351612628,0.364604029817713,0.146315655995475,0.141516477732388,54.03,-99.87,569,"Talbot","Canada","North America","CanVec",1,0,184.36,132.23,2.75,1628.87,0,3,8.8,0.224,84163.4,255,1.51,429.4,-99.817708,54.151176,569,7020021430
"000012",217.595659824047,217.607370478983,217.67,0.441015029207683,217.395142857143,217.385142857143,217.33,0.273284719322407,-0.200516966904047,-0.222227621840517,-0.092151179424346,-0.10212320536357,53.18,-98.28,4,"Winnipeg","Canada","North America","CanVec",3,709,23923.04,4018.32,7.33,284000,31790,1,11.9,2244.727,1464.3,215,-1,919611.5,-97.863542,53.696359,4,7020021430
"000018",1295.51089430894,1295.52135501355,1295.4,0.361543358688953,1295.32848484848,1295.35515151515,1295.31,0.166454220660672,-0.182409460458302,-0.166203498398772,-0.0140801178330194,-0.0128290821108876,42.67,-120.22,776,"Lake Abert","United States of America","North America","SWBD",1,0,174.35,82.14,1.75,5264.51,0,3,30.2,0,-1,1298,4.46,2319,-120.222917,42.64375,776,7020000010
"000021",1.2928550295858,1.29245562130178,1.27,0.188656025584874,1.22771428571429,1.24942857142857,1.19,0.187414069945256,-0.065140743871513,-0.0430270498732037,-5.03851881153161,-3.32909301983355,21.01,-73.53,857,"Windsor","The Bahamas","North America","SWBD",1,0,162.38,146.73,3.25,250.04,0,3,1.5,5.464,529.7,2,0.34,550.4,-73.652083,21.034985,857,7020065090
"000022",33.3512275449102,33.35624750499,33.38,0.292717451842468,33.4728571428571,33.4705714285714,33.41,0.275687071413474,0.121629597946963,0.114323923581402,0.364693017020675,0.342736165284478,61.52,-324.45,100,"Onega","Russia","Europe","Other",3,4356,9961.85,2413.79,6.82,262000,17500,1,26.3,616.51,4918.7,13,-1,59064.3,34.161458,60.919873,100,2020024230
"000026",44.6593641025641,44.6615897435897,44.64,0.256466683803211,44.9085714285714,44.9205714285714,44.92,0.187916484221094,0.249207326007323,0.258981684981684,0.558018079780528,0.579875652587704,59.18,-346.36,105,"Vanern","Sweden","Europe","Other",3,3187,5486.23,2276.5,8.67,153000,9500,1,27.9,523.118,3385.2,44,-1,48421,12.368581,58.368979,105,2020024230
"000029",1556.13467236467,1556.14,1556.43,1.51495076518012,1553.87057142857,1553.87057142857,1553.87,0.239078412649413,-2.26410093610093,-2.26942857142876,-0.145495179582397,-0.145837043674011,14.7,-91.14,870,"Atitla","Guatemala","North America","SWBD",1,0,122.74,82.06,2.09,8855.81,0,3,72.2,27.663,3705.2,1556,10.33,551.6,-91.18125,14.702083,870,7020000010
"000032",4083.30736972705,4083.4070719603,4083.6,1.22571860525989,4083.06885714286,4083.18771428571,4083.25,1.14634142185574,-0.238512584189721,-0.219357674583534,-0.00584116165141064,-0.00537192767504878,-11.01,-76.09,916,"Junin","Peru","South America","SWBD",2,1991,163.12,140.27,3.1,556,556,2,3.4,29.144,220.8,4080,0.32,917.1,-76.195566,-10.978923,916,6020006540
"000034",3810.61636781609,3810.63216091954,3810.6,0.687136013658105,3809.54914285714,3809.57971428571,3809.53,0.488649829082338,-1.06722495894928,-1.05244663382564,-0.0280066229695256,-0.0276186886947302,-15.15,-70.06,924,"Arapa","Peru","South America","SWBD",1,0,101.9,85.71,2.4,2142.82,0,3,21,4.077,6083.2,3812,3.68,478.9,-69.923958,-15.192741,924,6020021870
"000036",155.224362606232,155.224079320113,155.22,0.280388739816555,155.14625,155.16,155.055,0.278923622335533,-0.0781126062322812,-0.0640793201133079,-0.050322388135962,-0.04128181683794,-47.32,-71.93,999,"Cochrane","Chile","South America","SWBD",1,0,298.95,238.57,3.89,30421.84,0,3,101.8,36.153,9739.3,152,11.34,2569.6,-72.488542,-47.218653,999,6020021870
"000037",206.67404040404,206.664444444444,206.72,0.504097908212979,206.722580645161,206.651612903226,206.51,0.610737083323288,0.0485402411208895,-0.0128315412186453,0.0234863754664084,-0.00620887702920501,-46.57,-71.2,87,"Buenos Aires","Chile","South America","SWBD",1,0,1763.81,706.54,4.75,705524,0,1,400,149.356,54673.3,202,-1,14860.8,-72.801544,-46.839729,87,6020021870
"000042",247.47233615222,247.480137420719,247.49,0.37940350998646,247.270833333333,247.305555555556,247.36,0.263290985142184,-0.201502818886524,-0.174581865163276,-0.0814243814155374,-0.0705437886784769,50.79,-98.58,53,"Manitoba","Canada","North America","CanVec",1,0,4751.05,2110.76,8.64,16942,0,1,3.6,168.578,1163.2,245,-1,79354.2,-98.728778,51.587865,53,7020021430
"000051",3687.56335676626,3687.56333919156,3687.67,0.233507730428366,3687.72514285714,3687.71457142857,3687.7,0.062373232785177,0.161786090885926,0.151232237007662,0.00438734403272195,0.00410114276276586,-18.8,-67.37,79,"Poopo","Bolivia","South America","SWBD",1,0,2247.91,526.3,3.13,3415,0,1,1.5,685.169,57.7,3694,-1,102962.8,-67.015625,-19.1593,79,6020021870
"000053",2.86043907793633,2.85562019758507,2.72,0.82494250506871,2.63529411764706,2.60764705882353,2.54,0.561017664574253,-0.225144960289275,-0.247973138761542,-7.8709930243194,-8.68368766165918,-33.36,-53,968,"Lagoa Mangueira","Brazil","South America","SWBD",1,0,763.41,352.19,3.6,1984.86,0,1,2.6,28.193,814.8,0,-1,1841.9,-53.07479,-33.491959,968,6020014330
"000054",0.563554987212276,0.555498721227621,0.58,0.266347988792607,0.677777777777778,0.679166666666667,0.685,0.145250741057586,0.114222790565502,0.123667945439045,20.2682600912689,22.2625076734193,-22.88,-42.08,951,"Araruama","Brazil","South America","SWBD",1,0,237.58,200.23,3.66,1274.09,0,3,5.4,11.983,1230.6,2,0.92,606.2,-42.155208,-22.942295,951,6020008320
"000063",1.7449063032368,1.72875638841567,1.86,1.02249650136394,2.58142857142857,2.55942857142857,2.49,0.685969227817549,0.836522268191774,0.830672183012899,47.9408130190158,48.0502740917806,16.7,-15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020021940
"000068",281.288189349112,281.287207100592,281.25,0.52632965192269,281.594166666667,281.591388888889,281.53,0.603643106479321,0.305977317554266,0.304181788297171,0.108777164893515,0.108139218783737,12.99,-345.61,15,"Chad","Chad","Africa","Other",1,0,18751.52,817,1.68,2400,0,1,0.1,1085.078,25.6,282,-1,980211.9,14.527083,13.077083,15,1020040190
"000081",628.805320417288,628.813755588674,628.88,0.863054369631904,627.323888888889,627.350833333333,627.61,0.637160117924079,-1.48143152839873,-1.46292225534035,-0.235594623693009,-0.232647941037932,-14.72,-324.12,1626,"Chiuta","Mozambique","Africa","SWBD",1,0,143.85,182.04,4.28,560.75,0,3,3.9,48.592,133.6,628,0.78,4341.1,35.934375,-14.349293,1626,1020000010
"000082",802.446913425345,802.457264742785,802.12,1.21076422511861,807.075428571429,807.082,807.21,0.630934614199412,4.62851514608349,4.62473525721452,0.576800168166401,0.576321688444918,-7.74,-328.06,166,"Rukwa","United Republic of Tanzania","Africa","SWBD",1,0,5894.78,590.11,2.17,20631.73,0,1,3.5,520.273,459,801,-1,79610.1,32.202083,-7.914583,166,1020000010
"000091",1885.75412955466,1885.74036437247,1885.88,1.29374542807867,1887.88176470588,1887.82441176471,1887.91,0.61056591031419,2.12763515122629,2.08404739223624,0.112826752856098,0.110516136346785,-0.75,-323.59,1591,"Naivasha","Kenya","Africa","SWBD",1,0,128.23,62.03,1.55,1739.63,0,3,13.6,12.219,1647.8,1881,2.38,3253,36.347917,-0.76875,1591,1020000010
"000093",363.253682692308,363.256365384615,363.43,1.16175674089413,368.295428571429,368.304285714286,368.39,0.524798800982436,5.04174587912092,5.04792032967032,1.38794074756608,1.38963024758715,3.78,-323.93,158,"Turkana","Kenya","Africa","SWBD",1,0,7473.43,1024.85,3.34,238000,0,1,31.8,1198.172,2299,361,-1,149328.6,36.14375,3.372917,158,1020000010
"000107",1122.34865127582,1122.35859052248,1122.31,0.672449134208316,1121.77810810811,1121.77324324324,1121.84,0.409856599840021,-0.570543167712003,-0.585347279235521,-0.050834753270603,-0.0521533210667573,37.68,-328.44,1343,"Beysehir","Turkey","Asia","SWBD",1,0,626.91,240.31,2.71,4159,0,1,6.6,23.837,2019.4,1122,-1,4092.2,31.717708,37.679973,1343,2020003440
"000111",1808.94757369615,1808.94836734694,1808.91,0.658395956878389,1808.562,1808.572,1808.57,0.378400659121438,-0.385573696145002,-0.37636734693865,-0.0213148076678185,-0.0208058645416532,38.67,-316.44,1333,"Ercek","Turkey","Asia","SWBD",1,0,106.14,48.69,1.33,2165.58,0,3,20.4,7.595,3300.1,1804,3.55,1583.7,43.52841,38.689395,1333,2020071190
"000115",1273.08191958495,1273.08732814527,1271.74,2.45817738388992,1270.92647058824,1270.93823529412,1270.9,0.121203119095313,-2.15544899671931,-2.14909285114823,-0.169309528598287,-0.168809539113015,37.28,-314.53,142,"Urmia","Iran","Asia","Other",1,0,4932.76,865.66,3.48,1800,0,1,0.4,232.047,89.8,1267,-1,52200.3,45.372917,37.70625,142,2020065840
"000118",33.749474969475,33.7429426129426,33.71,0.586866731202049,33.9355882352941,33.9329411764706,33.795,0.343953759898488,0.186113265819152,0.189998563527972,0.551455292230425,0.563076450407426,66.14,-71.03,20,"Netilling","Canada","North America","CanVec",1,0,4872.7,7167.81,28.97,114000,0,1,23.4,655.623,2012.5,18,-1,63399.7,-71.413041,66.56381,20,8020032840
"000121",4245.49531165312,4245.49612466125,4245.7,0.804723131498818,4246.21028571429,4246.22828571429,4246.24,0.185162658449347,0.714974061168505,0.732161053038908,0.0168407690665923,0.0172455946617388,33.92,-281.51,1400,"Pangong","India","Asia","SWBD",1,0,285.46,206.97,3.46,24911.16,0,3,87.3,10.121,28487.7,4241,10.02,27103,78.427167,33.961051,1400,4020024190
"000129",16.3557608695652,16.2991032608696,16.075,1.13735961131039,16.4524242424242,16.5042424242424,16.33,0.867438867813715,0.0966633728590267,0.205139163372859,0.591005050941395,1.25859171568875,30.12,-244.99,15320,"Daye","China","Asia","SWBD",1,0,60.73,117.51,4.25,216.38,0,3,3.6,26.651,94,13,1,1090.1,115.175433,30.101028,15320,4020006940
"000141",4569.70545590433,4569.7213303438,4569.23,1.57034340896494,4566.24647058823,4566.29647058824,4566.3,0.246562824410814,-3.45898531609964,-3.42485975556156,-0.0756938351820997,-0.0749467967077085,30.64,-278.73,1452,"La-ang","China","Asia","SWBD",1,0,261.27,143.66,2.51,8482.36,0,3,32.5,46.34,2118.6,4570,4.32,6584.7,81.226042,30.846343,1452,4020024190
"000152",4615.29353372434,4615.31013196481,4615.25,1.41910396732579,4617.30647058824,4617.43,4617.385,0.467552507846551,2.01293686389545,2.11986803519085,0.0436144927551573,0.0459312153371671,30.93,-274.18,1449,"Zhari Namco","China","Asia","SWBD",1,0,958.1,244.88,2.23,23952.43,0,1,25,73.435,3775.1,4612,-1,20080.1,85.639583,30.947917,1449,4020050470
"000156",4688.79014416776,4688.83706422018,4690.07,3.15106358000362,4691.28235294118,4691.34176470588,4691.245,0.33730715095,2.49220877341759,2.50470048569878,0.0531524912992229,0.053418373285175,31.03,-272.85,1447,"Ang-tzu","China","Asia","SWBD",1,0,389.33,109.32,1.56,3376.32,0,3,8.7,8.834,4423.6,4685,1.25,7132.4,87.152083,31.04375,1447,4020050470
"000166",4553.67932038835,4553.66436893204,4553.72,0.547126369224838,4554.02257142857,4554.05114285714,4554.04,0.160959309018374,0.34325104022173,0.386773925103626,0.00753788345799583,0.00849368538758457,31.62,-268.88,1427,"Dogen","China","Asia","SWBD",1,0,134.17,70.71,1.72,1594.3,0,3,11.9,0.204,90453.6,4551,2.1,1209.4,91.177083,31.727083,1427,4020050470
"000171",4937.14850699844,4937.16402799378,4937.52,2.54476175883301,4943.84647058824,4943.89558823529,4943.6,0.431648582887483,6.69796358979056,6.73156024151467,0.135664616535155,0.136344674864895,33.4,-269.87,1404,"Migriggyangzham","China","Asia","SWBD",1,0,472.55,205.96,2.67,12166.12,0,3,25.7,17.266,8155.4,4935,3.08,9891.8,90.35625,33.477083,1404,4020050470
"000177",5195.92886850153,5195.93688073395,5195.96,0.408674654771594,5195.80486486486,5195.82216216216,5195.88,0.301243917611415,-0.124003636664384,-0.11471857178276,-0.00238655377705633,-0.00220785152737566,34.48,-279,14959,"Orba","China","Asia","SWBD",1,0,91.22,86.88,2.57,1963.82,0,3,21.5,0.034,668512.8,5194,4.36,523.3,81.085409,34.572924,14959,4020050470
"000189",4822.08509090909,4822.09605194805,4822.52,2.03664272725603,4825.51764705882,4825.50764705882,4825.445,0.292896287607307,3.4325561497335,3.41159511077149,0.0711840642589402,0.0707492151549585,34.59,-270.85,1389,"Dogai Coring","China","Asia","SWBD",1,0,268.13,159.24,2.74,6029.7,0,3,22.5,0,-1,4818,3.12,7618.7,88.997917,34.547917,1389,4020050470
"000203",253.206524520256,253.2071108742,253.26,0.565664171667101,253.044,253.056,253.06,0.266305883392408,-0.162524520255857,-0.151110874200413,-0.0641865451784027,-0.0596787640278745,51.93,-99.98,913068,NA,"Canada","North America","CanVec",1,0,0.13,1.55,1.22,0.31,0,3,2.4,0,-1,259,1.33,0.3,-99.988392,51.928741,913068,7020021430
