"site_no","Hylak_id","level_long_term_mean","level_long_term_mean_smooth","level_long_term_median","level_long_term_sd","level_2024_mean","level_2024_mean_smooth","level_2024_median","level_2024_sd","level_anomaly","level_anomaly_smooth","Lake_name","Country","Continent","Poly_src","Lake_type","Grand_id","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Elevation","Slope_100","Wshd_area","Pour_long","Pour_lat","ID","HYBAS_ID"
"000003",569,257.64144486692,257.644347275032,257.65,0.471250567668148,258.014705882353,258.005294117647,258.005,0.11791715875133,0.373261015432774,0.360946842615363,"Talbot","Canada","North America","CanVec",1,0,184.36,132.23,2.75,1628.87,0,3,8.8,0.224,84163.4,255,1.51,429.4,-99.817708,54.151176,569,7020021430
"000012",4,217.594940828402,217.6066765286,217.67,0.442626267058266,217.395142857143,217.385142857143,217.33,0.273284719322407,-0.1997979712595,-0.22153367145674,"Winnipeg","Canada","North America","CanVec",3,709,23923.04,4018.32,7.33,284000,31790,1,11.9,2244.727,1464.3,215,-1,919611.5,-97.863542,53.696359,4,7020021430
"000021",857,1.29390134529148,1.29385650224215,1.27,0.188961539225766,1.22771428571429,1.24942857142857,1.19,0.187414069945256,-0.0661870595771941,-0.0444279308135811,"Windsor","The Bahamas","North America","SWBD",1,0,162.38,146.73,3.25,250.04,0,3,1.5,5.464,529.7,2,0.34,550.4,-73.652083,21.034985,857,7020065090
"000022",100,33.3516096579477,33.3570020120724,33.38,0.293748946641267,33.4728571428571,33.4705714285714,33.41,0.275687071413474,0.12124748490946,0.11356941649899,"Onega","Russia","Europe","Other",3,4356,9961.85,2413.79,6.82,262000,17500,1,26.3,616.51,4918.7,13,-1,59064.3,34.161458,60.919873,100,2020024230
"000026",105,44.6593711340206,44.6616701030928,44.64,0.25704504107075,44.9085714285714,44.9205714285714,44.92,0.187916484221094,0.24920029455081,0.258901325478647,"Vanern","Sweden","Europe","Other",3,3187,5486.23,2276.5,8.67,153000,9500,1,27.9,523.118,3385.2,44,-1,48421,12.368581,58.368979,105,2020024230
"000034",924,3810.61636781609,3810.63216091954,3810.6,0.687136013658105,3809.54914285714,3809.57971428571,3809.53,0.488649829082338,-1.06722495894928,-1.05244663382564,"Arapa","Peru","South America","SWBD",1,0,101.9,85.71,2.4,2142.82,0,3,21,4.077,6083.2,3812,3.68,478.9,-69.923958,-15.192741,924,6020021870
"000042",53,247.472537313433,247.480884861407,247.49,0.380656010162198,247.270833333333,247.305555555556,247.36,0.263290985142184,-0.201703980099495,-0.175329305851704,"Manitoba","Canada","North America","CanVec",1,0,4751.05,2110.76,8.64,16942,0,1,3.6,168.578,1163.2,245,-1,79354.2,-98.728778,51.587865,53,7020021430
"000051",79,3687.56335676626,3687.56333919156,3687.67,0.233507730428366,3687.72514285714,3687.71457142857,3687.7,0.062373232785177,0.161786090885926,0.151232237007662,"Poopo","Bolivia","South America","SWBD",1,0,2247.91,526.3,3.13,3415,0,1,1.5,685.169,57.7,3694,-1,102962.8,-67.015625,-19.1593,79,6020021870
"000053",968,2.86280973451327,2.85722345132743,2.73,0.827347268728407,2.63529411764706,2.60764705882353,2.54,0.561017664574253,-0.227515616866215,-0.249576392503904,"Lagoa Mangueira","Brazil","South America","SWBD",1,0,763.41,352.19,3.6,1984.86,0,1,2.6,28.193,814.8,0,-1,1841.9,-53.07479,-33.491959,968,6020014330
"000054",951,0.562805662805663,0.555366795366795,0.58,0.266325424085428,0.677777777777778,0.679166666666667,0.685,0.145250741057586,0.114972114972115,0.123799871299871,"Araruama","Brazil","South America","SWBD",1,0,237.58,200.23,3.66,1274.09,0,3,5.4,11.983,1230.6,2,0.92,606.2,-42.155208,-22.942295,951,6020008320
"000068",15,281.282676224612,281.281636798088,281.25,0.525364541080728,281.594166666667,281.591388888889,281.53,0.603643106479321,0.311490442055003,0.309752090800487,"Chad","Chad","Africa","Other",1,0,18751.52,817,1.68,2400,0,1,0.1,1085.078,25.6,282,-1,980211.9,14.527083,13.077083,15,1020040190
"000081",1626,628.812473763118,628.821589205397,628.89,0.860580168062189,627.323888888889,627.350833333333,627.61,0.637160117924079,-1.48858487422956,-1.47075587206405,"Chiuta","Mozambique","Africa","SWBD",1,0,143.85,182.04,4.28,560.75,0,3,3.9,48.592,133.6,628,0.78,4341.1,35.934375,-14.349293,1626,1020000010
"000082",166,802.429772727273,802.439671717172,802.115,1.19510461596401,807.075428571429,807.082,807.21,0.630934614199412,4.64565584415584,4.64232828282832,"Rukwa","United Republic of Tanzania","Africa","SWBD",1,0,5894.78,590.11,2.17,20631.73,0,1,3.5,520.273,459,801,-1,79610.1,32.202083,-7.914583,166,1020000010
"000091",1591,1885.75284253579,1885.73985685072,1885.88,1.29951831308984,1887.88176470588,1887.82441176471,1887.91,0.61056591031419,2.12892217009494,2.08455491399013,"Naivasha","Kenya","Africa","SWBD",1,0,128.23,62.03,1.55,1739.63,0,3,13.6,12.219,1647.8,1881,2.38,3253,36.347917,-0.76875,1591,1020000010
