"ID","obs_bl_median","year_count","start_year","end_year","obs_count_2024","storage_long_term_mean","storage_long_term_mean_smooth","storage_long_term_median","storage_long_term_sd","storage_2024_mean","storage_2024_mean_smooth","storage_2024_median","storage_2024_sd","storage_anomaly_volume","storage_anomaly_volume_smooth","storage_anomaly_percent","storage_anomaly_percent_smooth","lake_name","country_name","basin_id","basin_name","altimetry","latitude","longitude","HYBAS_ID","Hylak_id","Lake_name","Country","Continent","Poly_src","Lake_type","Grand_id","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Elevation","Slope_100","Wshd_area","Pour_long","Pour_lat"
226,3,32,"1993","2024",5,2105.21814294763,2111.58400087099,2106.326171875,36.9912797550205,2144.44772949219,2168.6689453125,2168.6689453125,54.1602850719121,39.2295865445526,57.0849444415117,1.86344520523774,2.70341811729797,"MacNaughton","Canada","8030010700","Northwest Territories","ICESat2",67.4145812988281,-98.3274688720703,8020010700,226,"MacNaughton","Canada","North America","CanVec",1,0,187.25,293.17,6.04,2017.36,0,3,10.8,17.955,1300.4,19,1.79,4679.2,-98.327468,67.414583
229,3,32,"1993","2024",11,4030.48071618982,4037.35776169236,3995.72106933594,133.112559899676,4036.2764115767,4103.43386008523,4126.32177734375,149.076796860584,5.79569538688202,66.0760983928708,0.143796628615579,1.63661736940482,"","","8030010700","Northwest Territories","ICESat2",67.1084136962891,-95.3255157470703,8020010700,229,NA,"Canada","North America","CanVec",1,0,411.36,770.47,10.72,3688.43,0,3,9,595.756,71.7,9,1.27,95425.8,-95.325517,67.108417
230,3,32,"1993","2024",14,6522.07851683063,6586.05724946952,6620.158203125,495.00513937138,6588.71065848214,6654.71819196429,6655.3974609375,140.726712395694,66.6321416515102,68.6609424947637,1.02163967329681,1.04251967290892,"Bois","Canada","8030009570","Northwest Territories","ICESat2",67.0418319702148,-125.258079528809,8020008900,230,"Bois","Canada","North America","CanVec",1,0,458.53,228.78,3.01,6526.67,0,3,14.2,6.002,12585.8,284,1.85,1416.1,-125.258076,67.041833
236,3,32,"1993","2024",4,1018.78493981612,1026.3794146086,1027.00653076172,75.3309006140043,1053.63629150391,1069.75207519531,1069.75207519531,32.2315673828125,34.8513516877827,43.3726605867084,3.42087425183894,4.22579213586898,"","Canada","8030010700","Northwest Territories","ICESat2",66.4979248046875,-100.884376525879,8020010700,236,NA,"Canada","North America","CanVec",1,0,119.98,413.07,10.64,982.91,0,3,8.2,1.75,6500.7,148,1.56,615.7,-100.884375,66.497928
253,3,32,"1993","2024",17,4830.23395833333,4861.61875651042,4865.654296875,124.480070286915,4720.04532398897,4677.75359030331,4892.501953125,350.44238360744,-110.188634344363,-183.865166207108,-2.28122768575755,-3.78197418217719,"Itchen","Canada","8030009560","Mackenzie","ICESat2",65.5331497192383,-112.577079772949,8020008900,253,"Itchen","Canada","North America","CanVec",1,0,210.56,419.46,8.15,4854.72,0,3,23.1,5.013,11208.6,400,3.37,684.9,-112.577083,65.533146
259,3,32,"1993","2024",3,1618.56053122496,1620.69760836088,1622.21148681641,23.3670846643124,1626.9237874349,1634.39921061198,1640.99279785156,42.6611875655012,8.3632562099358,13.7016022511018,0.516709511235042,0.845413862550163,"","Canada","8030016860","Northwest Territories","ICESat2",65.2209930419922,-99.4897537231445,8020010700,259,NA,"Canada","North America","CanVec",1,0,135.88,297.48,7.2,1547.7,0,3,11.4,3.83,4677.1,169,2.02,453.2,-99.489757,65.220995
270,8,32,"1993","2024",45,10128.39234375,10173.3217578125,10186.3598632812,215.632551759071,10039.4105034722,10038.3974175347,10039.396484375,132.262656208579,-88.9818402777782,-134.924340277777,-0.878538639280566,-1.32625649212524,"Hardish","Canada","8030009560","Mackenzie","GREALM",64.8205642700195,-117.835418701172,8020008900,270,"Hardish","Canada","North America","CanVec",1,0,384.88,1027.37,14.77,10351.8,0,3,26.9,60.588,1977.5,186,3.35,16707.1,-117.835417,64.820566
270,8,32,"1993","2024",45,10128.39234375,10173.3217578125,10186.3598632812,215.632551759071,10039.4105034722,10038.3974175347,10039.396484375,132.262656208579,-88.9818402777782,-134.924340277777,-0.878538639280566,-1.32625649212524,"Hardish","Canada","8030009560","Mackenzie","ICESat2",64.8205642700195,-117.835418701172,8020008900,270,"Hardish","Canada","North America","CanVec",1,0,384.88,1027.37,14.77,10351.8,0,3,26.9,60.588,1977.5,186,3.35,16707.1,-117.835417,64.820566
273,3,32,"1993","2024",34,9280.48766230194,9315.88742022447,9251.7255859375,276.453482596477,8771.95595415901,8771.25834386489,9115.7900390625,763.546499112193,-508.531708142929,-544.629076359583,-5.47957959373864,-5.84623935211166,"Schultz","Canada","8030016860","Northwest Territories","GREALM",64.7857666015625,-97.0204544067383,8020010700,273,"Schultz","Canada","North America","CanVec",1,0,411.08,521.15,7.25,9335.12,0,3,22.7,925.188,116.8,59,2.85,156036.8,-97.020455,64.785764
286,4,32,"1993","2024",4,6306.46824199021,6390.30010554766,6392.23828125,220.051459959049,6333.53332519531,6372.90869140625,6397.4296875,145.982279736053,27.0650832050978,-17.3914141414143,0.429163870593861,-0.272153323852759,"Blackwater","Canada","8030009560","Mackenzie","ICESat2",64.1717834472656,-123.047805786133,8020008900,286,"Blackwater","Canada","North America","CanVec",1,0,215.7,143.76,2.76,6331.36,0,3,29.4,34.769,2107.6,209,4.14,6177.6,-123.047803,64.171786
